taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3668,1983-02-12,2,1687,241,55.46,55,4.62,-69,74,-0.93,1099,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3977,1983-03-22,3,1725,246.43,56.71,56,4.73,309,38,8.13,1061,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3963,1983-04-15,4,1749,249.86,57.5,57,4.79,-14,24,-0.58,1037,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,4122,1983-06-03,6,1798,256.86,59.11,59,4.93,159,49,3.24,988,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,4131,1983-06-20,6,1815,259.29,59.67,59,4.97,9,17,0.53,971,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3832,1983-09-09,9,1896,270.86,62.33,62,5.19,-299,81,-3.69,890,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3563.5,1983-09-29,9,1916,273.71,62.99,62,5.25,-269,20,-13.43,870,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3915,1982-05-07,5,1041,148.71,34.22,34,2.85,NA,NA,NA,1377,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,2869,1982-05-13,5,1047,149.57,34.42,34,2.87,-1046,6,-174.33,1371,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3519,1982-05-24,5,1058,151.14,34.78,34,2.9,650,11,59.09,1360,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,4259,1982-07-09,7,1104,157.71,36.3,36,3.02,740,46,16.09,1314,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,4027,1982-10-06,10,1193,170.43,39.22,39,3.27,-232,89,-2.61,1225,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3882,1982-11-30,11,1248,178.29,41.03,41,3.42,-145,55,-2.64,1170,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3681,1983-02-11,2,1321,188.71,43.43,43,3.62,-201,73,-2.75,1097,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3828,1983-04-22,4,1391,198.71,45.73,45,3.81,147,70,2.1,1027,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3913,1983-06-03,6,1433,204.71,47.11,47,3.93,85,42,2.02,985,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3360,1983-09-29,9,1551,221.57,50.99,50,4.25,-553,118,-4.69,867,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3582,1983-11-03,11,1586,226.57,52.14,52,4.35,222,35,6.34,832,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3423,1983-12-06,12,1619,231.29,53.23,53,4.44,-159,33,-4.82,799,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3047,1984-03-06,3,1710,244.29,56.22,56,4.68,-376,91,-4.13,708,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3138,1984-03-09,3,1713,244.71,56.32,56,4.69,91,3,30.33,705,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3327,1984-06-05,6,1801,257.29,59.21,59,4.93,189,88,2.15,617,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3278,1984-07-29,7,1855,265,60.99,60,5.08,-49,54,-0.91,563,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3292,1984-08-20,8,1877,268.14,61.71,61,5.14,14,22,0.64,541,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3133,1984-08-29,8,1886,269.43,62.01,62,5.17,-159,9,-17.67,532,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,2996,1984-09-12,9,1900,271.43,62.47,62,5.21,-137,14,-9.79,518,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3597,1984-07-18,7,1478,211.14,48.59,48,4.05,NA,NA,NA,8932,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3582,1984-07-29,7,1489,212.71,48.95,48,4.08,-15,11,-1.36,8921,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3918,1984-08-29,8,1520,217.14,49.97,49,4.16,336,31,10.84,8890,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3837,1984-10-09,10,1561,223,51.32,51,4.28,-81,41,-1.98,8849,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,4140,1984-12-03,12,1616,230.86,53.13,53,4.43,303,55,5.51,8794,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3909,1984-12-28,12,1641,234.43,53.95,53,4.5,-231,25,-9.24,8769,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3750,1985-01-14,1,1658,236.86,54.51,54,4.54,-159,17,-9.35,8752,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3713,1985-03-11,3,1714,244.86,56.35,56,4.7,-37,56,-0.66,8696,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3709,1985-05-28,5,1792,256,58.92,58,4.91,-4,78,-0.05,8618,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3819,1985-07-25,7,1850,264.29,60.82,60,5.07,110,58,1.9,8560,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3605,1985-03-11,3,984,140.57,32.35,32,2.7,55,56,0.98,3316,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3614,1985-05-28,5,1062,151.71,34.92,34,2.91,9,78,0.12,3238,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3582,1985-07-25,7,1120,160,36.82,36,3.07,-32,58,-0.55,3180,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3459,1985-08-21,8,1147,163.86,37.71,37,3.14,-123,27,-4.56,3153,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3450,1986-01-02,1,1281,183,42.12,42,3.51,-9,134,-0.07,3019,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3477,1986-06-12,6,1442,206,47.41,47,3.95,27,161,0.17,2858,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3568,1986-07-28,7,1488,212.57,48.92,48,4.08,91,46,1.98,2812,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3536,1986-11-12,11,1595,227.86,52.44,52,4.37,-32,107,-0.3,2705,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3472,1986-12-04,12,1617,231,53.16,53,4.43,-64,22,-2.91,2683,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3736,1987-05-12,5,1776,253.71,58.39,58,4.87,264,159,1.66,2524,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6107,N,M,VESPASIAN,N,130,1984-07-01,7,Y,WB,Madagascar /,NA,160,1984-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1993-04-22,8.81,NA,NA,8.81,NA,Y,3686,1987-03-30,3,1002,143.14,32.94,32,2.75,372,83,4.48,2215,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6107,N,M,VESPASIAN,N,130,1984-07-01,7,Y,WB,Madagascar /,NA,160,1984-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1993-04-22,8.81,NA,NA,8.81,NA,Y,5107,1988-06-07,6,1437,205.29,47.24,47,3.94,1421,435,3.27,1780,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6107,N,M,VESPASIAN,N,130,1984-07-01,7,Y,WB,Madagascar /,NA,160,1984-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1993-04-22,8.81,NA,NA,8.81,NA,Y,4376,1989-05-14,5,1778,254,58.45,58,4.87,-731,341,-2.14,1439,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6108,N,F,FLAVIA,N,127,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-03-05,21.69,NA,NA,21.69,12,Y,3677,1986-06-13,6,1443,206.14,47.44,47,3.95,NA,NA,NA,6475,2.64,young_adult,P,160,1986-01-28,1986-07-07,24,0.15,1
PCOQ,6108,N,F,FLAVIA,N,127,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-03-05,21.69,NA,NA,21.69,12,Y,4658,1986-09-24,9,1546,220.86,50.83,50,4.24,981,103,9.52,6372,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6108,N,F,FLAVIA,N,127,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-03-05,21.69,NA,NA,21.69,12,Y,4286,1986-10-06,10,1558,222.57,51.22,51,4.27,-372,12,-31,6360,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6109,N,F,OCTAVIA,N,128,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-01-11,11.54,NA,NA,11.54,7,Y,3610,1986-06-13,6,1443,206.14,47.44,47,3.95,NA,NA,NA,2769,2.64,young_adult,P,160,1986-01-21,1986-06-30,17,0.10625,1
